Molecule ID,ext,External ID,Gene,Name,Source acc,Regulation (case/control),Validation,Scores
A3967,X,KINH_HUMAN,KIF5B;KNS;KNS1,Kinesin family member 5B,A_23_P86403,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 4.29E-06
A407B,,TM230_HUMAN,TMEM230;HSPC274;UNQ2432/PRO4992,UPF0414 transmembrane protein C20ORF30,A_24_P382591,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 3.88E-05
A520K,,BBIP1_HUMAN,BBIP1;BBIP10,BBsome-interacting protein of 10 kDa,A_24_P743869,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 2.12E-04
A5711,,ADA17_HUMAN,ADAM17;CSVP;TACE,ADAM 17 precursor,A_24_P157053,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 3.48E-05
A7110,X,NAMPT_HUMAN,NAMPT;NAMPTL;PBEF,Nicotinamide phosphoribosyltransferase,A_32_P79396,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 1.01E-03
A7144,,NEK1_HUMAN,NEK1,Serine/threonine-protein kinase Nek1,A_32_P68050,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 1.01E-03
A7509,,PRPS2_HUMAN,PRPS2,Ribose-phosphate pyrophosphokinase 2,A_24_P117528,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 3.27E-04
A7831,,SLK_HUMAN,SLK;STK2;HSLK,CTCL tumor antigen se20-9,A_23_P202199,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 3.20E-05
A8139,X,UCHL3_HUMAN,UCHL3,Ubiquitin carboxyl-terminal esterase L3,A_23_P76690,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 7.23E-04
A821H,,PI2R_HUMAN,PTGIR;PRIPR,Prostacyclin receptor,A_24_P322426,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 2.33E-04
A843D,,PS1C2_HUMAN,PSORS1C2;SPR1,Psoriasis susceptibility 1 candidate gene 2 protein precursor,A_24_P166434,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 2.82E-03
A854G,,IFM5_HUMAN,IFITM5,Interferon-induced transmembrane protein 5,A_23_P150664,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 2.43E-03
A9039,,SAV1_HUMAN,SAV1;WW45,Salvador homolog 1 protein,A_23_P65555,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 1.06E-05
A9077,,SUMO2_HUMAN,SUMO2;SMT3A;SMT3H2,Small ubiquitin-related modifier 2,A_24_P330691,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 1.48E-04
A9629,X,RS12_HUMAN,RPS12,40S ribosomal protein S12,A_23_P82128,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 6.32E-04
A963A,,RSF1_HUMAN,RSF1;HBXAP;XAP8,Remodeling and spacing factor 1,A_23_P139388,ratio: 0.41,ratio_log2fc: -1.28,,p-value: 3.40E-04
A022I,,QTRD1_HUMAN,QTRTD1,Queuine tRNA-ribosyltransferase subunit QTRTD1,A_23_P91930,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.94E-06
A0234,,ARP3_HUMAN,ACTR3;ARP3,Actin-like protein 3,A_24_P231513,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 8.28E-05
A029H,,KDEL1_HUMAN,KDELC1;EP58;UNQ1910/PRO4357,KDEL (Lys-Asp-Glu-Leu) motif containing protein 1,A_23_P128613,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.31E-05
A134F,,CP26A_HUMAN,CYP26A1;CYP26;P450RAI1,Cytochrome P450 26,A_23_P138655,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.22E-03
A135B,,TRM6_HUMAN,TRMT6;TRM6;CGI-09,tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit TRM6,A_23_P210747,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.19E-04
A1396,,MSH6_HUMAN,MSH6;GTBP,DNA mismatch repair protein MSH6,A_23_P102202,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.51E-03
A1518,X,LAMC1_HUMAN,LAMC1;LAMB2,Laminin gamma-1 chain precursor,A_23_P201628,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 4.93E-04
A216B,,ZCRB1_HUMAN,ZCRB1;MADP-1,Zinc finger CCHC-type and RNA-binding motif-containing protein 1,A_24_P4877,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 1.86E-04
A2186,,TFAM_HUMAN,TFAM;TCF6;TCF6L2,Transcription factor A;mitochondrial precursor,A_24_P927537,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.40E-04
A3263,,ZN775_HUMAN,ZNF775,Zinc finger protein 775,A_24_P384099,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.00E-03
A354F,,APLF_HUMAN,APLF;PALF;XIP1,Aprataxin and PNK-like factor,A_32_P16339,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 4.35E-05
A361B,,GINM1_HUMAN,GINM1;UNQ710/PRO1361;UNQ710,Uncharacterized protein C6ORF72,A_23_P31109,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 9.79E-04
A3639,,RPN1_HUMAN,RPN1,Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 67 kDa subunit precursor,A_23_P132809,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 1.68E-03
A373C,X,S10AD_HUMAN,S100A13,Protein S100-A13,A_23_P372874,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 4.51E-04
A401B,,F210A_HUMAN,FAM210A,Hypothetical protein,A_23_P380978,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.34E-05
A4199,,RBM7_HUMAN,RBM7,RNA binding motif protein 7,A_23_P138975,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 4.90E-04
A4208,,RIF1_HUMAN,RIF1,Telomere-associated protein RIF1,A_24_P34476,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 1.08E-03
A440A,,FOXP1_HUMAN,FOXP1;HSPC215;hFKHLB,Forkhead box protein P1,A_24_P362737,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 5.63E-04
A497C,X,SEC62_HUMAN,SEC62;TLOC1;HTP-1,Translocational protein-1,A_24_P251704,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.19E-03
A5681,,ACOX3_HUMAN,ACOX3;BRCOX;PRCOX,Acyl-coenzyme A oxidase 3;peroxisomal,A_24_P354451,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.79E-04
A625G,,GORAB_HUMAN,GORAB;NTKLBP1;SCYL1BP1,RAB6-interacting Golgin,A_23_P368145,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 5.16E-05
A6265,X,DDX18_HUMAN,DDX18,ATP-dependent RNA helicase DDX18,A_24_P165736,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.84E-03
A688B,,LFG4_HUMAN,TMBIM4;CGI-119;MDS013,Transmembrane BAX inhibitor motif containing protein 4,A_23_P25097,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 6.42E-07
A8943,,PP4R2_HUMAN,PPP4R2;SBBI57,Serine/threonine-protein phosphatase 4 regulatory subunit 2,A_32_P228784,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.30E-03
A9053,,SIKE1_HUMAN,SIKE1;SIKE,Suppressor of IKBKE 1,A_24_P937855,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 2.51E-04
A9699,,COX16_HUMAN,COX16;HSPC203;PTD019,Cytochrome C oxidase assembly protein COX16 homolog;mitochondrial,A_23_P53957,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 9.70E-05
A988A,,SCAF8_HUMAN,SCAF8;CCAP7;RBM16,RNA-binding protein 16,A_23_P111303,ratio: 0.41,ratio_log2fc: -1.27,,p-value: 3.85E-05
A0035,,RIMS1_HUMAN,RIMS1;RAB3IP2;RIM1,Regulating synaptic membrane exocytosis protein 1,A_23_P432110,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 5.80E-04
A115K,,CL040_HUMAN,,Uncharacterized protein C12ORF40,A_24_P249812,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.22E-03
A1509,,FBN2_HUMAN,FBN2;PP187,Fibrillin 2 precursor,A_24_P921436,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.08E-03
A1992,,GBRG2_HUMAN,GABRG2,Gamma-aminobutyric-acid receptor gamma-2 subunit precursor,A_23_P213920,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.07E-03
A2039,,CHD5_HUMAN,CHD5,Chromodomain helicase DNA binding protein 5,A_23_P385263,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.03E-03
A236K,,CQ066_HUMAN,,Uncharacterized protein C17ORF66,A_23_P430792,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 7.06E-04
A269F,,AIPL1_HUMAN,AIPL1;AIPL2,Aryl-hydrocarbon interacting protein-like 1,A_23_P100935,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.13E-03
A293H,,MCSP_HUMAN,SMCP;MCS;MCSP,Sperm mitochondrial associated cysteine-rich protein,A_24_P336596,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.60E-03
A3453,,RHF2B_HUMAN,RHOXF2B,Rhox homeobox family member 2B,A_23_P73677,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.54E-03
A390A,,ELOA2_HUMAN,TCEB3B;TCEB3L,RNA polymerase II transcription factor SIII subunit A2,A_23_P141706,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.53E-03
A420F,,AT134_HUMAN,ATP13A4;UNQ3052/PRO9871;UNQ3052,Probable cation-transporting ATPase 13A4,A_23_P430948,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 5.13E-04
A446E,X,TTC9A_HUMAN,TTC9;TTC9A,Tetratricopeptide repeat protein 9A,A_24_P273742,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 7.01E-04
A4473,,KCIP2_HUMAN,KCNIP2;KCHIP2;KCHIP4.2,Kv channel interacting protein 2,A_24_P12998,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.30E-03
A475A,,H1T_HUMAN,HIST1H1T;H1FT;H1T,Histone H1T,A_23_P133842,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 7.68E-04
A4927,,KRA47_HUMAN,KRTAP4-7;KAP4.7;KRTAP4.7,Keratin-associated protein 4-7,A_23_P66844,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.49E-03
A545D,,HYDIN_HUMAN,HYDIN;HYDIN2;HYDIN1,Hydrocephalus-inducing protein homolog,A_24_P178084,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.31E-03
A604B,,SHSA7_HUMAN,SHISA7,Protein SHISA-6-like,A_24_P161581,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.40E-05
A6773,X,ICK_HUMAN,ICK;LCK2,Serine/threonine-protein kinase ICK,A_23_P344988,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.25E-05
A7322,,PDE11_HUMAN,PDE11A;HSPDE11A;PDE11A3,Dual 3';5'-cyclic-AMP and -GMP phosphodiesterase 11A,A_24_P43144,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.41E-03
A802I,,TM108_HUMAN,TMEM108;UNQ1875/PRO4318;UNQ1875,Transmembrane protein 108 precursor,A_24_P51016,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.56E-03
A821G,,HYPM_HUMAN,HYPM,Huntingtin interacting protein HYPM,A_24_P281872,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 3.18E-03
A8707,,CD180_HUMAN,LY64;RP105;CD180,CD180 antigen,A_23_P257815,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 4.49E-04
A9344,,GPR85_HUMAN,GPR85;SREB2,G protein-coupled receptor 85,A_24_P21161,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 9.22E-04
B3193,,CN177_HUMAN,,Hypothetical protein,A_32_P741217,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.12E-03
B8814,,LEG16_HUMAN,LGALS16,Galectin-16,A_24_P164664,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 8.47E-04
B9884,,MOST1_HUMAN,MOST-1,Protein MOST-1,A_23_P123362,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 2.22E-03
BH868,,VN1R2_HUMAN,VN1R2;V1RL2;GPCR,Vomeronasal type-1 receptor 2,A_23_P402279,ratio: 0.3,ratio_log2fc: -1.76,,p-value: 1.87E-03
A0212,,RP3A_HUMAN,RPH3A,Rabphilin-3A,A_23_P76234,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.38E-03
A049F,,PC11X_HUMAN,PCDH-X;PCDH11X;PCDH11,Protocadherin 11,A_23_P217538,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.95E-03
A0763,X,KCNA1_HUMAN,KCNA1,Potassium voltage-gated channel subfamily A member 1,A_24_P498652,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.48E-03
A094K,,OR1Q1_HUMAN,OR1Q1;OR1Q2;OR1Q3,Olfactory receptor 1Q1,A_24_P283591,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.05E-03
A119K,,MAGBI_HUMAN,MAGEB18,Melanoma-associated antigen B18,A_23_P370054,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 7.55E-04
A1446,,TDT_HUMAN,DNTT;TDT,DNA nucleotidylexotransferase,A_23_P409489,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.15E-03
A1711,,AMRP_HUMAN,LRPAP1;A2MRAP,Alpha-2-macroglobulin receptor-associated protein precursor,A_24_P196568,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 5.16E-04
A2210,X,SOX6_HUMAN,SOX6,Transcription factor SOX-6,A_23_P343799,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 7.11E-04
A259I,,S28A3_HUMAN,SLC28A3;CNT3,Solute carrier family 28 member 3,A_32_P494169,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.20E-03
A2946,,ZN560_HUMAN,ZNF560,Zinc finger protein 560,A_23_P368773,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.61E-03
A303K,,HERC3_HUMAN,HERC3,Probable E3 ubiquitin-protein ligase HERC3,A_24_P51201,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 8.15E-04
A316I,,SAM15_HUMAN,SAMD15;FAM15A,SAM domain-containing protein C14ORF174,A_23_P349025,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.32E-03
A325C,,RAB3B_HUMAN,RAB3B,Ras-related protein Rab-3B,A_23_P388168,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.01E-04
A3300,,TBX5_HUMAN,TBX5,T-box transcription factor TBX5,A_24_P30557,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 4.14E-03
A3376,,MAP6_HUMAN,MAP6,Microtubule-associated protein 6,A_24_P290006,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 5.76E-04
A342B,,CC108_HUMAN,CCDC108,Coiled-coil domain-containing protein 108,A_23_P337278,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 9.55E-04
A3453,,RHF2B_HUMAN,RHOXF2B,Rhox homeobox family member 2B,A_23_P352494,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 8.15E-04
A361G,,F205A_HUMAN,FAM205A,Transmembrane protein C9ORF144B,A_32_P29239,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 8.00E-04
A4074,,CCNE2_HUMAN,CCNE2,Cyclin E2,A_23_P215976,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 9.84E-04
A4479,,KCNH5_HUMAN,KCNH5;EAG2,Potassium voltage-gated channel subfamily H member 5,A_24_P99145,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.24E-03
A447D,,FA92B_HUMAN,FAM92B,Protein FAM92B,A_32_P56624,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 6.99E-04
A4556,,ADAM2_HUMAN,ADAM2;FTNB,ADAM 2 precursor,A_23_P136832,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 8.87E-04
A504B,,LHPL2_HUMAN,LHFPL2,HMGIC fusion partner-like 2,A_24_P349092,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 4.90E-04
A5116,,RPTN_HUMAN,RPTN,Repetin,A_23_P303286,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.24E-03
A555H,,NK3R_HUMAN,TACR3;NK3R;TAC3R,Neuromedin K receptor,A_23_P110299,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 6.90E-04
A5914,,B4GT5_HUMAN,gt-V;B4GALT5;GT-V,Beta-1;4-galactosyltransferase 5,A_24_P239731,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.04E-04
A6826,,KAD5_HUMAN,AK5,Adenylate kinase 5,A_24_P342632,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 8.88E-04
A682I,,TAAR1_HUMAN,TAAR1;TA1;TAR1,Trace amine receptor 1,A_23_P93531,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 9.73E-04
A727J,,CLM4_HUMAN,CD300LD;CD300D;CMRF35A4,CMRF35-like molecule 4,A_24_P930975,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 6.90E-04
A744I,X,TEDM1_HUMAN,TEDDM1;HE9,Transmembrane epididymal protein 1,A_23_P411947,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.54E-03
A8030,,TRI36_HUMAN,TRIM36;RBCC728;RNF98,Tripartite motif-containing 36,A_24_P363134,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.10E-03
A816J,,AKA28_HUMAN,AKAP14;AKAP28,A-kinase anchor protein 14,A_23_P313652,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.49E-03
A8228,,ZSWM2_HUMAN,ZSWIM2;ZZZ2,E3 ubiquitin-protein ligase ZSWIM2,A_32_P437041,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 6.98E-04
A8383,X,AMBP_HUMAN,AMBP;ITIL;HCP,AMBP protein precursor,A_23_P256504,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.73E-03
A8458,,PROL1_HUMAN,PROL1;BPLP,Proline-rich protein 1 precursor,A_24_P402855,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 4.36E-03
A858G,,IFNA6_HUMAN,IFNA6,Interferon alpha-6 precursor,A_23_P71757,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.22E-03
A9074,X,STOM_HUMAN,STOM;BND7;EPB72,Erythrocyte band 7 integral membrane protein,A_23_P255263,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.67E-05
A9272,,CLC5A_HUMAN,CLEC5A;CLECSF5;MDL1,C-type lectin domain family 5 member A,A_23_P304356,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 7.00E-04
A964B,,EXC6B_HUMAN,EXOC6B;SEC15B;SEC15L2,Exocyst complex component 6B,A_23_P415820,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.02E-03
A978B,,FABPI_HUMAN,FABP2;FABPI,Fatty acid-binding protein 2;intestinal,A_23_P391711,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 5.82E-04
A9805,,CANB2_HUMAN,PPP3R2;CBLP;PPP3RL,Calcineurin B subunit,A_24_P149689,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.58E-03
B2872,,CI153_HUMAN,,Uncharacterized protein C9ORF153,A_24_P855508,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.57E-03
B3796,,CT173_HUMAN,,Chromosome 20 open reading frame 173,A_23_P57248,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 9.87E-04
B3880,,CU037_HUMAN,,Hypothetical protein,A_32_P15863,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 4.70E-03
BC794,,PRAM2_HUMAN,PRAMEF2,PRAME family member 2,A_23_P97465,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.13E-03
BD946,,RNAS8_HUMAN,RNASE8,Ribonuclease 8 precursor,A_23_P376124,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 1.05E-03
BI135,,XG_HUMAN,XG;PBDX,XG glycoprotein precursor,A_23_P72487,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 2.06E-03
BM092,,Q9P160,PRO2610,PRO2610 protein,A_24_P238225,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 5.17E-04
A018G,,CTL5_HUMAN,SLC44A5;CTL5,Choline transporter-like protein 5,A_23_P342641,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.63E-03
A120D,,CJ053_HUMAN,,UPF0728 protein C10ORF53,A_24_P177581,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 8.79E-04
A175K,,YAED1_HUMAN,YAE1D1;GK003,Uncharacterized protein C7ORF36,A_32_P32091,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 3.15E-04
A1892,,CLD11_HUMAN,CLDN11;OSP;OTM,Claudin-11,A_23_P405088,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.41E-03
A200F,,AATC2_HUMAN,GOT1L1,Glutamic-oxaloacetic transaminase 1-like 1,A_23_P9075,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 2.05E-03
A242C,,NTCP7_HUMAN,SLC10A7;P7,Sodium/bile acid cotransporter 7,A_24_P131880,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.60E-03
A2592,,LARP1_HUMAN,LARP1;LARP,LA-related protein 1,A_24_P911281,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.68E-03
A266K,,ANR60_HUMAN,ANKRD60,Ankyrin repeat domain-containing protein 60,A_23_P131875,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 3.10E-03
A283B,,ZN829_HUMAN,ZNF829,Zinc finger protein 829,A_32_P96435,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 2.49E-03
A288A,,CENPI_HUMAN,CENPI;FSHPRH1;ICEN19,Centromere protein I,A_24_P419132,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 3.08E-03
A299J,,TM196_HUMAN,TMEM196,Transmembrane protein 196,A_23_P416821,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 8.65E-04
A3069,,ZIC1_HUMAN,ZIC1;ZIC;ZNF201,Zinc finger protein ZIC 1,A_32_P86067,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 7.61E-04
A3384,,GBX1_HUMAN,GBX1,Homeobox protein GBX-1,A_24_P309069,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 2.82E-03
A3712,,DHB13_HUMAN,HSD17B13;SCDR9;HMFN0376,Short-chain dehydrogenase/reductase 9,A_24_P362969,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 9.57E-04
A4224,,SPDYA_HUMAN,SPDYA;SPDY1;SPY1,Speedy A,A_23_P425579,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 8.04E-04
A4411,,ACHA_HUMAN,CHRNA1;ACHRA;CHNRA,Acetylcholine receptor protein;alpha chain precursor,A_24_P393458,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 2.79E-03
A443I,,SKA1_HUMAN,SKA1,Spindle and kinetochore-associated protein 1,A_23_P153168,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.13E-03
A4538,,TRPV5_HUMAN,ECAC1;TRPV5,Transient receptor potential cation channel;subfamily V;member 5,A_24_P342236,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.05E-03
A469D,,FNDC7_HUMAN,FNDC7,Fibronectin type III domain-containing protein 7,A_24_P268323,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.14E-03
A4767,X,DYH5_HUMAN,DNAH5;DNAHC5;HL1,Ciliary dynein heavy chain 5,A_23_P93058,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 3.70E-03
A5009,,NIN_HUMAN,NIN;NINEIN,Ninein,A_24_P928361,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.08E-04
A5333,,FRPD4_HUMAN,FRMPD4;PDZD10;PDZK10,FERM and PDZ domain-containing protein 4,A_24_P940275,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.59E-03
A5491,X,TDRD5_HUMAN,TDRD5,Tudor domain containing protein 5,A_32_P536872,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 3.34E-03
A588K,,F150A_HUMAN,FAM150A;UNQ9433/PRO34745;UNQ9433,RPLK9433 protein,A_24_P935794,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.03E-03
A5970,X,CAN11_HUMAN,CAPN11,Calpain 11,A_23_P7853,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.24E-03
A611G,,GLP2R_HUMAN,GLP2R,Glucagon-like peptide 2 receptor precursor,A_23_P141306,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 7.12E-04
A637I,,SYT4_HUMAN,SYT4,Synaptotagmin-4,A_23_P208030,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.55E-03
A6648,,GPX6_HUMAN,GPX6,Glutathione peroxidase 6,A_24_P109111,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 8.60E-04
A6895,,LIPC_HUMAN,LIPC;HTGL,Hepatic triacylglycerol lipase,A_23_P88559,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 4.19E-04
A7366,,PGAP1_HUMAN,PGAP1;UNQ3024/PRO9822;UNQ3024,GPI inositol-deacylase,A_23_P79247,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 4.93E-04
A780I,,TIGD4_HUMAN,TIGD4,Tigger transposable element derived 4,A_23_P370684,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.72E-03
A853J,,FA46D_HUMAN,FAM46D,Family with sequence similarity 46;member D,A_23_P402919,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 8.92E-04
A8819,,GPSM3_HUMAN,GPSM3;AGS4;G18,G18.1B protein,A_24_P144465,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 3.93E-06
A8876,,MAGAB_HUMAN,MAGEA11;MAGE11,Melanoma antigen family A 11,A_23_P113553,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.24E-03
A931H,,PPDPF_HUMAN,PPDPF;EXPDF;UPF0362,Pancreatic progenitor cell differentiation and proliferation factor,A_23_P120364,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 2.82E-05
A967I,,TRI60_HUMAN,TRIM60;RNF129;RNF33,Tripartite motif-containing protein 60,A_23_P371168,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.48E-03
A9862,,DB125_HUMAN,DEFB125;DEFB25,Beta-defensin 25 precursor,A_23_P320846,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 9.35E-04
A989F,,CRTC3_HUMAN,CRTC3;TORC3,CREB-regulated transcription coactivator 3,A_24_P916808,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.05E-03
B0666,,ANGL5_HUMAN,ANGPTL5;UNQ5795;UNQ5795/PRO19600,Angiopoietin-related protein 5,A_23_P64161,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.78E-03
B1798,,CA180_HUMAN,,Hypothetical protein,A_23_P414352,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 4.31E-03
BC868,,PRNT_HUMAN,PRNT;M8,Testis-specific prion protein precursor,A_24_P348828,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 8.30E-04
BM488,,E7EML2,PRO1510,PRO1510 protein,A_24_P928779,ratio: 0.3,ratio_log2fc: -1.74,,p-value: 1.26E-03
