Entrez Id,Gene Symbol,Description,Exp. # of eQTLs,Pr. of no eQTL,FDR
137872,ADHFE1,"alcohol dehydrogenase, iron containing 1",1.03,0.00119,0.000113
64795,RMND5A,required for meiotic nuclear division 5 homolog A,1.08,0.00119,0.000115
353,APRT,adenine phosphoribosyltransferase,1.04,0.00121,0.000116
10752,CHL1,cell adhesion molecule L1 like,1.02,0.00123,0.000118
4316,MMP7,matrix metallopeptidase 7,1.11,0.00124,0.00012
10863,ADAM28,ADAM metallopeptidase domain 28,1.33,0.00125,0.000121
64084,CLSTN2,calsyntenin 2,1.53,0.00128,0.000123
2936,GSR,glutathione-disulfide reductase,1,0.0013,0.000125
613212,CTXN3,cortexin 3,1.01,0.00131,0.000127
6565,SLC15A2,solute carrier family 15 member 2,1,0.00132,0.000128
120892,LRRK2,leucine rich repeat kinase 2,1.43,0.00133,0.00013
79763,ISOC2,isochorismatase domain containing 2,1.22,0.00134,0.000132
2327,FMO2,flavin containing monooxygenase 2,2.79,0.00135,0.000134
316,AOX1,aldehyde oxidase 1,1.83,0.00136,0.000135
219623,TMEM26,transmembrane protein 26,1.02,0.00137,0.000137
27294,DHDH,dihydrodiol dehydrogenase,1.84,0.00137,0.000139
287,ANK2,ankyrin 2,1.01,0.00139,0.000141
200958,MUC20,"mucin 20, cell surface associated",2.22,0.00142,0.000143
10016,PDCD6,programmed cell death 6,1.01,0.00144,0.000144
100505538,RBM26-AS1,RBM26 antisense RNA 1,1.18,0.00144,0.000146
1555,CYP2B6,cytochrome P450 family 2 subfamily B member 6,1.69,0.00145,0.000148
101928857,CTD-3080P12.3,uncharacterized LOC101928857,1.02,0.00146,0.00015
9128,PRPF4,pre-mRNA processing factor 4,1.02,0.00146,0.000152
401548,SNX30,sorting nexin family member 30,1.04,0.00153,0.000154
8648,NCOA1,nuclear receptor coactivator 1,1.02,0.00163,0.000156
1071,CETP,cholesteryl ester transfer protein,1.02,0.00164,0.000158
84248,FYTTD1,forty-two-three domain containing 1,1.24,0.00164,0.00016
101929726,MYMX,"myomixer, myoblast fusion factor",1.06,0.00164,0.000162
23474,ETHE1,"ETHE1, persulfide dioxygenase",1,0.00165,0.000164
55823,VPS11,"VPS11, CORVET/HOPS core subunit",1.24,0.0017,0.000167
51655,RASD1,ras related dexamethasone induced 1,1.01,0.0017,0.000169
83473,KATNAL2,katanin catalytic subunit A1 like 2,1.15,0.00172,0.000171
51491,NOP16,NOP16 nucleolar protein,1.02,0.00172,0.000173
810,CALML3,calmodulin like 3,1.86,0.00174,0.000175
2217,FCGRT,Fc fragment of IgG receptor and transporter,1.16,0.00175,0.000178
4126,MANBA,mannosidase beta,1.02,0.00175,0.00018
221458,KIF6,kinesin family member 6,1.4,0.00176,0.000182
51028,VPS36,vacuolar protein sorting 36 homolog,1.04,0.00177,0.000184
27341,RRP7A,ribosomal RNA processing 7 homolog A,1.02,0.00178,0.000186
6335,SCN9A,sodium voltage-gated channel alpha subunit 9,1.01,0.00179,0.000189
6609,SMPD1,sphingomyelin phosphodiesterase 1,1.01,0.00182,0.000191
2939,GSTA2,glutathione S-transferase alpha 2,1.09,0.00183,0.000193
122402,TDRD9,tudor domain containing 9,1.14,0.00183,0.000196
133688,UGT3A1,UDP glycosyltransferase family 3 member A1,1.02,0.00184,0.000198
10991,SLC38A3,solute carrier family 38 member 3,1.01,0.00185,0.0002
2053,EPHX2,epoxide hydrolase 2,1.64,0.00187,0.000202
101927171,LINC01564,long intergenic non-protein coding RNA 1564,1.02,0.00188,0.000205
54756,IL17RD,interleukin 17 receptor D,1.03,0.00191,0.000207
4707,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,1.59,0.00191,0.000209
80032,ZNF556,zinc finger protein 556,1.18,0.00191,0.000212
440957,SMIM4,small integral membrane protein 4,1.04,0.00194,0.000214
94081,SFXN1,sideroflexin 1,1.01,0.00194,0.000217
1266,CNN3,calponin 3,1.03,0.00196,0.000219
84888,SPPL2A,signal peptide peptidase like 2A,1.14,0.00199,0.000221
4437,MSH3,mutS homolog 3,1,0.00201,0.000224
151651,EFHB,EF-hand domain family member B,1.04,0.00203,0.000226
10331,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",1.03,0.00206,0.000229
388789,SMIM26,small integral membrane protein 26,1.03,0.00211,0.000231
1164,CKS2,CDC28 protein kinase regulatory subunit 2,1.02,0.00217,0.000234
51634,RBMX2,"RNA binding motif protein, X-linked 2",1.04,0.00218,0.000237
91452,ACBD5,acyl-CoA binding domain containing 5,1,0.00219,0.000239
119032,BORCS7,BLOC-1 related complex subunit 7,1.03,0.00225,0.000242
7267,TTC3,tetratricopeptide repeat domain 3,1.02,0.00228,0.000245
1075,CTSC,cathepsin C,1.88,0.00231,0.000248
166815,TIGD2,tigger transposable element derived 2,1.1,0.00234,0.00025
59277,NTN4,netrin 4,1.53,0.00234,0.000253
5003,SLC22A18AS,solute carrier family 22 member 18 antisense,1.03,0.00236,0.000256
79682,CENPU,centromere protein U,1.02,0.00237,0.000259
51016,EMC9,ER membrane protein complex subunit 9,1.02,0.00237,0.000262
23584,VSIG2,V-set and immunoglobulin domain containing 2,1.02,0.00238,0.000265
100132911,DPH3P1,diphthamide biosynthesis 3 pseudogene 1,1.04,0.00239,0.000267
84417,C2ORF40,chromosome 2 open reading frame 40,2.11,0.0024,0.00027
439931,THAP7-AS1,THAP7 antisense RNA 1,1.33,0.0024,0.000273
56655,POLE4,"DNA polymerase epsilon 4, accessory subunit",1.76,0.00242,0.000276
6166,RPL36AL,ribosomal protein L36a like,1.09,0.00249,0.000279
28959,TMEM176B,transmembrane protein 176B,1.18,0.00257,0.000282
8395,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta,1.05,0.00272,0.000285
51103,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,1.01,0.00276,0.000288
735301,SNHG9,small nucleolar RNA host gene 9,1.04,0.00283,0.000292
866,SERPINA6,serpin family A member 6,1.02,0.00284,0.000295
54518,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,1.01,0.00288,0.000299
151525,WDSUB1,"WD repeat, sterile alpha motif and U-box domain containing 1",1.21,0.00294,0.000302
6892,TAPBP,TAP binding protein,1.27,0.003,0.000306
6610,SMPD2,sphingomyelin phosphodiesterase 2,1.25,0.003,0.000309
55118,CRTAC1,cartilage acidic protein 1,1,0.0031,0.000313
84930,MASTL,microtubule associated serine/threonine kinase like,1.05,0.0031,0.000316
1582,CYP8B1,cytochrome P450 family 8 subfamily B member 1,1.83,0.00314,0.00032
4857,NOVA1,NOVA alternative splicing regulator 1,1.01,0.00323,0.000324
4798,NFRKB,nuclear factor related to kappaB binding protein,1.19,0.00323,0.000328
126661,CCDC163,coiled-coil domain containing 163,1.01,0.00326,0.000332
5967,REG1A,regenerating family member 1 alpha,1.03,0.00329,0.000335
144811,LACC1,laccase domain containing 1,1.39,0.00329,0.000339
5834,PYGB,glycogen phosphorylase B,1.37,0.00331,0.000343
2045,EPHA7,EPH receptor A7,1.01,0.00331,0.000347
10040,TOM1L1,target of myb1 like 1 membrane trafficking protein,1.34,0.00343,0.000351
54465,ETAA1,"ETAA1, ATR kinase activator",1,0.00345,0.000355
51629,SLC25A39,solute carrier family 25 member 39,1.22,0.00346,0.000359
653645,TBC1D3P1-DHX40P1,"TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene",1.03,0.00347,0.000363
1824,DSC2,desmocollin 2,1.07,0.00348,0.000367
348174,CLEC18A,C-type lectin domain family 18 member A,1.02,0.0035,0.000371
124989,EFCAB13,EF-hand calcium binding domain 13,1.88,0.00351,0.000375
11329,STK38,serine/threonine kinase 38,1,0.00352,0.000379
2588,GALNS,galactosamine (N-acetyl)-6-sulfatase,1.44,0.00359,0.000383
100506054,RNASEH1-AS1,RNASEH1 antisense RNA 1,1.02,0.0036,0.000387
1601,DAB2,"DAB2, clathrin adaptor protein",1.01,0.0036,0.000392
10069,RWDD2B,RWD domain containing 2B,1.07,0.00368,0.000396
25853,DCAF12,DDB1 and CUL4 associated factor 12,1.3,0.00376,0.0004
284565,NBPF15,NBPF member 15,1,0.00376,0.000404
8924,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,1,0.00378,0.000409
55066,PDPR,pyruvate dehydrogenase phosphatase regulatory subunit,1.03,0.0038,0.000413
5719,PSMD13,"proteasome 26S subunit, non-ATPase 13",1.05,0.00383,0.000417
11315,PARK7,Parkinsonism associated deglycase,1.74,0.00383,0.000422
2052,EPHX1,epoxide hydrolase 1,1.3,0.00384,0.000426
79412,KREMEN2,kringle containing transmembrane protein 2,1.01,0.00385,0.00043
4086,SMAD1,SMAD family member 1,1.09,0.00389,0.000435
6863,TAC1,tachykinin precursor 1,1.11,0.00397,0.000439
374383,NCR3LG1,natural killer cell cytotoxicity receptor 3 ligand 1,1.39,0.00398,0.000444
11278,KLF12,Kruppel like factor 12,1,0.00399,0.000448
5328,PLAU,"plasminogen activator, urokinase",1.01,0.00399,0.000453
91419,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog,1.05,0.00407,0.000457
51520,LARS,leucyl-tRNA synthetase,1.01,0.00414,0.000462
10682,EBP,emopamil binding protein (sterol isomerase),1.12,0.00414,0.000466
1535,CYBA,cytochrome b-245 alpha chain,2.85,0.00415,0.000471
126433,FBXO27,F-box protein 27,1.05,0.00419,0.000476
1434,CSE1L,chromosome segregation 1 like,1.01,0.00422,0.00048
10456,HAX1,HCLS1 associated protein X-1,1.02,0.00432,0.000485
3295,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,1.03,0.00433,0.00049
217,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),1.16,0.00436,0.000495
30834,ZNRD1,zinc ribbon domain containing 1,1.03,0.00436,0.000499
79966,SCD5,stearoyl-CoA desaturase 5,1.01,0.00443,0.000504
3681,ITGAD,integrin subunit alpha D,1.01,0.00449,0.000509
115701,ALPK2,alpha kinase 2,1.68,0.00453,0.000514
1188,CLCNKB,chloride voltage-gated channel Kb,1.13,0.00455,0.000519
23641,LDOC1,"LDOC1, regulator of NFKB signaling",1.3,0.00462,0.000524
83932,SPRTN,SprT-like N-terminal domain,1,0.00462,0.000529
1366,CLDN7,claudin 7,1.13,0.00464,0.000534
26816,SNORD35A,"small nucleolar RNA, C/D box 35A",1.08,0.00479,0.00054
26762,HAVCR1,hepatitis A virus cellular receptor 1,1.29,0.0048,0.000545
1509,CTSD,cathepsin D,1,0.00481,0.00055
87769,GGACT,gamma-glutamylamine cyclotransferase,1.01,0.00488,0.000555
10400,PEMT,phosphatidylethanolamine N-methyltransferase,1.14,0.00489,0.000561
84818,IL17RC,interleukin 17 receptor C,1.01,0.00495,0.000566
7294,TXK,TXK tyrosine kinase,1.02,0.00506,0.000572
4062,LY6H,lymphocyte antigen 6 family member H,1,0.00512,0.000577
10809,STARD10,StAR related lipid transfer domain containing 10,1.01,0.00515,0.000583
126070,ZNF440,zinc finger protein 440,1.01,0.00523,0.000588
51106,TFB1M,"transcription factor B1, mitochondrial",1.06,0.00524,0.000594
79363,RSG1,REM2 and RAB like small GTPase 1,0.999,0.00535,0.0006
5791,PTPRE,"protein tyrosine phosphatase, receptor type E",1.04,0.00539,0.000606
1975,EIF4B,eukaryotic translation initiation factor 4B,1.08,0.00547,0.000611
84217,ZMYND12,zinc finger MYND-type containing 12,1.43,0.00548,0.000617
23325,WASHC4,WASH complex subunit 4,1.14,0.00554,0.000623
9077,DIRAS3,DIRAS family GTPase 3,1.02,0.00558,0.000629
64770,CCDC14,coiled-coil domain containing 14,1.03,0.0056,0.000635
220988,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,1.06,0.00571,0.000641
28514,DLL1,delta like canonical Notch ligand 1,1,0.00572,0.000647
580,BARD1,BRCA1 associated RING domain 1,1.01,0.00585,0.000654
3977,LIFR,LIF receptor alpha,1.37,0.00609,0.00066
64122,FN3K,fructosamine 3 kinase,1.01,0.00609,0.000667
494514,TYMSOS,TYMS opposite strand,1.14,0.0061,0.000673
10483,SEC23B,"Sec23 homolog B, coat complex II component",0.997,0.00612,0.00068
51233,DRICH1,aspartate rich 1,1.33,0.00616,0.000686
56731,SLC2A4RG,SLC2A4 regulator,1.01,0.00622,0.000693
65992,DDRGK1,DDRGK domain containing 1,1.03,0.00625,0.0007
755,C21ORF2,chromosome 21 open reading frame 2,1.36,0.0063,0.000706
8789,FBP2,fructose-bisphosphatase 2,1.02,0.00638,0.000713
858,CAV2,caveolin 2,1.01,0.00642,0.00072
130752,MDH1B,malate dehydrogenase 1B,1,0.00644,0.000726
339448,C1ORF174,chromosome 1 open reading frame 174,1.02,0.00645,0.000733
79629,OCEL1,occludin/ELL domain containing 1,1.02,0.00651,0.00074
56913,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",1.14,0.00655,0.000747
387849,REP15,RAB15 effector protein,1.07,0.0066,0.000754
65979,PHACTR4,phosphatase and actin regulator 4,1,0.00667,0.000761
100507027,MRLN,myoregulin,1.47,0.00689,0.000768
729338,CETN4P,"centrin 4, pseudogene",1.02,0.00698,0.000775
53827,FXYD5,FXYD domain containing ion transport regulator 5,1.31,0.00714,0.000783
29948,OSGIN1,oxidative stress induced growth inhibitor 1,1.09,0.00721,0.00079
80173,IFT74,intraflagellar transport 74,1.07,0.00725,0.000798
51643,TMBIM4,transmembrane BAX inhibitor motif containing 4,1.03,0.00747,0.000806
10521,DDX17,DEAD-box helicase 17,0.995,0.00749,0.000814
100302692,FTX,"FTX transcript, XIST regulator (non-protein coding)",0.997,0.00754,0.000821
79915,ATAD5,"ATPase family, AAA domain containing 5",1.03,0.00757,0.000829
9107,MTMR6,myotubularin related protein 6,1.01,0.00759,0.000837
100131801,PET100,PET100 homolog,1.02,0.0076,0.000845
4885,NPTX2,neuronal pentraxin 2,1,0.00771,0.000853
427,ASAH1,N-acylsphingosine amidohydrolase 1,1.54,0.00785,0.000861
619208,FAM229B,family with sequence similarity 229 member B,1.01,0.00785,0.000869
55006,TRMT61B,tRNA methyltransferase 61B,0.997,0.00789,0.000877
55012,PPP2R3C,protein phosphatase 2 regulatory subunit B''gamma,1.01,0.00789,0.000885
100506233,RAB30-AS1,RAB30 antisense RNA 1 (head to head),1.72,0.00792,0.000893
222865,TMEM130,transmembrane protein 130,1.02,0.00795,0.000902
3920,LAMP2,lysosomal associated membrane protein 2,0.997,0.00798,0.00091
2222,FDFT1,farnesyl-diphosphate farnesyltransferase 1,1.62,0.00804,0.000918
399665,FAM102A,family with sequence similarity 102 member A,1.01,0.00814,0.000926
116541,MRPL54,mitochondrial ribosomal protein L54,1.02,0.00821,0.000935
4700,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,1.61,0.00824,0.000943
3958,LGALS3,galectin 3,1.06,0.00828,0.000951
54535,CCHCR1,coiled-coil alpha-helical rod protein 1,1.22,0.00829,0.00096
137075,CLDN23,claudin 23,1,0.00835,0.000968
9154,SLC28A1,solute carrier family 28 member 1,1.84,0.00838,0.000977
85478,CCDC65,coiled-coil domain containing 65,0.996,0.0084,0.000985
654463,FER1L6,fer-1 like family member 6,1.15,0.00853,0.000994
54733,SLC35F2,solute carrier family 35 member F2,1.45,0.00866,0.001
9334,B4GALT5,"beta-1,4-galactosyltransferase 5",1,0.00873,0.00101
254528,MEIOB,meiosis specific with OB domains,1.11,0.00876,0.00102
79741,CCDC7,coiled-coil domain containing 7,1.55,0.00886,0.00103
4982,TNFRSF11B,TNF receptor superfamily member 11b,1.09,0.0089,0.00104
9397,NMT2,N-myristoyltransferase 2,1.09,0.00897,0.00105
84869,CBR4,carbonyl reductase 4,1.05,0.00903,0.00106
51497,NELFCD,negative elongation factor complex member C/D,1.01,0.00904,0.00106
6751,SSTR1,somatostatin receptor 1,1.01,0.00928,0.00107
196410,METTL7B,methyltransferase like 7B,1.01,0.00934,0.00108
84817,TXNDC17,thioredoxin domain containing 17,1.93,0.00941,0.00109
54546,RNF186,ring finger protein 186,1,0.00952,0.0011
3075,CFH,complement factor H,1.12,0.00957,0.00111
1768,DNAH6,dynein axonemal heavy chain 6,1.07,0.00958,0.00112
8551,INE2,inactivation escape 2 (non-protein coding),1.12,0.00959,0.00113
60559,SPCS3,signal peptidase complex subunit 3,1.03,0.00959,0.00114
267,AMFR,autocrine motility factor receptor,0.999,0.00959,0.00115
664701,ZNF826P,"zinc finger protein 826, pseudogene",1.89,0.00961,0.00116
2166,FAAH,fatty acid amide hydrolase,1.05,0.00983,0.00117
84153,RNASEH2C,ribonuclease H2 subunit C,1.07,0.0102,0.00118
9723,SEMA3E,semaphorin 3E,1.03,0.0103,0.00119
51455,REV1,"REV1, DNA directed polymerase",0.999,0.0103,0.0012
3396,MRPL58,mitochondrial ribosomal protein L58,1,0.0105,0.00121
2760,GM2A,GM2 ganglioside activator,1.07,0.0106,0.00122
730112,FAM166B,family with sequence similarity 166 member B,0.998,0.0106,0.00123
101927062,LINC02294,long intergenic non-protein coding RNA 2294,1.35,0.0106,0.00124
10461,MERTK,"MER proto-oncogene, tyrosine kinase",1.01,0.0107,0.00125
7363,UGT2B4,UDP glucuronosyltransferase family 2 member B4,1.04,0.0107,0.00126
79925,SPEF2,sperm flagellar 2,1.04,0.0107,0.00127
2620,GAS2,growth arrest specific 2,0.996,0.0107,0.00128
51069,MRPL2,mitochondrial ribosomal protein L2,1.04,0.0107,0.00129
8814,CDKL1,cyclin dependent kinase like 1,1.06,0.0107,0.0013
25934,NIPSNAP3A,nipsnap homolog 3A,1.01,0.0111,0.00131
4018,LPA,lipoprotein(a),1.16,0.0113,0.00132
203068,TUBB,tubulin beta class I,0.999,0.0113,0.00134
146712,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1",1,0.0115,0.00135
10762,NUP50,nucleoporin 50,1.07,0.0116,0.00136
152,ADRA2C,adrenoceptor alpha 2C,1.34,0.0116,0.00137
83877,TM2D2,TM2 domain containing 2,1.14,0.0117,0.00138
51300,TIMMDC1,translocase of inner mitochondrial membrane domain containing 1,1.02,0.0117,0.00139
152137,CCDC50,coiled-coil domain containing 50,1.03,0.0117,0.0014
309,ANXA6,annexin A6,1.11,0.0118,0.00141
56271,BEX4,brain expressed X-linked 4,1.14,0.0118,0.00143
51263,MRPL30,mitochondrial ribosomal protein L30,1.03,0.012,0.00144
131965,METTL6,methyltransferase like 6,0.999,0.012,0.00145
81704,DOCK8,dedicator of cytokinesis 8,1.21,0.0121,0.00146
51188,SS18L2,SS18 like 2,0.992,0.0121,0.00147
1416,CRYBB2P1,crystallin beta B2 pseudogene 1,0.995,0.0122,0.00148
4051,CYP4F3,cytochrome P450 family 4 subfamily F member 3,1.18,0.0123,0.00149
64850,ETNPPL,ethanolamine-phosphate phospho-lyase,1,0.0123,0.00151
60489,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,0.998,0.0123,0.00152
401466,C8ORF59,chromosome 8 open reading frame 59,0.989,0.0125,0.00153
2874,GPS2,G protein pathway suppressor 2,0.998,0.0125,0.00154
1603,DAD1,defender against cell death 1,1.23,0.0126,0.00155
55707,NECAP2,NECAP endocytosis associated 2,1,0.0128,0.00157
667,DST,dystonin,1.01,0.013,0.00158
57085,AGTRAP,angiotensin II receptor associated protein,1.01,0.013,0.00159
100874275,LINC01216,long intergenic non-protein coding RNA 1216,1.02,0.0131,0.0016
3858,KRT10,keratin 10,1.04,0.0131,0.00161
4582,MUC1,"mucin 1, cell surface associated",0.993,0.0134,0.00163
7074,TIAM1,T-cell lymphoma invasion and metastasis 1,1.01,0.0134,0.00164
148808,MFSD4A,major facilitator superfamily domain containing 4A,1.06,0.0135,0.00165
55620,STAP2,signal transducing adaptor family member 2,1.01,0.0135,0.00166
686,BTD,biotinidase,1,0.0136,0.00168
10457,GPNMB,glycoprotein nmb,1.15,0.0136,0.00169
84418,CYSTM1,cysteine rich transmembrane module containing 1,0.996,0.0137,0.0017
7178,TPT1,"tumor protein, translationally-controlled 1",1.11,0.0139,0.00172
951,CD37,CD37 molecule,0.994,0.014,0.00173
4594,MUT,methylmalonyl-CoA mutase,1.03,0.0141,0.00174
6016,RIT1,Ras like without CAAX 1,1.01,0.0142,0.00175
5538,PPT1,palmitoyl-protein thioesterase 1,1,0.0142,0.00177
8892,EIF2B2,eukaryotic translation initiation factor 2B subunit beta,0.987,0.0142,0.00178
10092,ARPC5,actin related protein 2/3 complex subunit 5,1.28,0.0143,0.00179
1259,CNGA1,cyclic nucleotide gated channel alpha 1,0.993,0.0145,0.00181
7782,SLC30A4,solute carrier family 30 member 4,0.993,0.0145,0.00182
166785,MMAA,methylmalonic aciduria (cobalamin deficiency) cblA type,0.988,0.0147,0.00183
353133,LCE1C,late cornified envelope 1C,1.04,0.0148,0.00185
55062,WIPI1,"WD repeat domain, phosphoinositide interacting 1",0.993,0.0151,0.00186
81873,ARPC5L,actin related protein 2/3 complex subunit 5 like,1.48,0.0154,0.00188
84520,GON7,"GON7, KEOPS complex subunit",1.03,0.0155,0.00189
8458,TTF2,transcription termination factor 2,1.04,0.0155,0.0019
6382,SDC1,syndecan 1,0.998,0.0155,0.00192
9073,CLDN8,claudin 8,1.05,0.0157,0.00193
399818,EEF1AKMT2,EEF1A lysine methyltransferase 2,1.2,0.0157,0.00195
3218,HOXB8,homeobox B8,1.19,0.0159,0.00196
23498,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase",1.39,0.016,0.00198
92856,IMP4,"IMP4, U3 small nucleolar ribonucleoprotein",1.02,0.0161,0.00199
6884,TAF13,TATA-box binding protein associated factor 13,0.997,0.0163,0.00201
100505687,LINC00888,long intergenic non-protein coding RNA 888,1.06,0.0167,0.00202
7775,ZNF232,zinc finger protein 232,0.992,0.0167,0.00204
283232,TMEM80,transmembrane protein 80,1.06,0.0167,0.00205
1497,CTNS,"cystinosin, lysosomal cystine transporter",1.04,0.017,0.00207
22977,AKR7A3,aldo-keto reductase family 7 member A3,1.33,0.017,0.00208
100306951,PITPNA-AS1,PITPNA antisense RNA 1,0.987,0.017,0.0021
130162,CLHC1,clathrin heavy chain linker domain containing 1,0.992,0.0173,0.00211
1486,CTBS,chitobiase,1.66,0.0175,0.00213
60684,TRAPPC11,trafficking protein particle complex 11,1.52,0.0177,0.00214
5601,MAPK9,mitogen-activated protein kinase 9,0.994,0.0178,0.00216
9775,EIF4A3,eukaryotic translation initiation factor 4A3,0.989,0.0178,0.00218
80115,BAIAP2L2,BAI1 associated protein 2 like 2,1.03,0.0178,0.00219
27430,MAT2B,methionine adenosyltransferase 2B,1.03,0.018,0.00221
84306,PDCD2L,programmed cell death 2 like,0.987,0.018,0.00222
693191,MIR606,microRNA 606,1.24,0.0181,0.00224
25984,KRT23,keratin 23,1.5,0.0181,0.00226
51074,APIP,APAF1 interacting protein,0.999,0.0182,0.00227
285315,C3ORF33,chromosome 3 open reading frame 33,0.987,0.0186,0.00229
347730,LRRTM1,leucine rich repeat transmembrane neuronal 1,0.992,0.0188,0.00231
529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,1.05,0.0189,0.00232
29104,N6AMT1,N-6 adenine-specific DNA methyltransferase 1,1.07,0.0191,0.00234
10410,IFITM3,interferon induced transmembrane protein 3,1,0.0191,0.00236
2202,EFEMP1,EGF containing fibulin like extracellular matrix protein 1,0.991,0.0192,0.00237
54996,Mar-02,mitochondrial amidoxime reducing component 2,1.08,0.0194,0.00239
284294,LINC01924,long intergenic non-protein coding RNA 1924,0.996,0.0195,0.00241
101805492,CASC9,cancer susceptibility 9 (non-protein coding),1.07,0.02,0.00243
27436,EML4,echinoderm microtubule associated protein like 4,1.01,0.0201,0.00244
162967,ZNF320,zinc finger protein 320,1.02,0.0203,0.00246
64089,SNX16,sorting nexin 16,1.03,0.0206,0.00248
259,AMBP,alpha-1-microglobulin/bikunin precursor,0.996,0.021,0.0025
57463,AMIGO1,adhesion molecule with Ig like domain 1,0.994,0.0211,0.00252
283726,SAXO2,stabilizer of axonemal microtubules 2,1.02,0.0213,0.00254
84320,ACBD6,acyl-CoA binding domain containing 6,0.994,0.0214,0.00256
23315,SLC9A8,solute carrier family 9 member A8,1.42,0.0214,0.00257
1514,CTSL,cathepsin L,1.26,0.0216,0.00259
8727,CTNNAL1,catenin alpha like 1,1.18,0.0216,0.00261
56931,DUS3L,dihydrouridine synthase 3 like,1.09,0.0217,0.00263
55937,APOM,apolipoprotein M,0.992,0.0218,0.00265
9948,WDR1,WD repeat domain 1,1.02,0.0221,0.00267
5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.984,0.0221,0.00269
873,CBR1,carbonyl reductase 1,1.75,0.0222,0.00271
8838,WISP3,WNT1 inducible signaling pathway protein 3,0.995,0.0225,0.00273
118471,PRAP1,proline rich acidic protein 1,0.989,0.0226,0.00275
64710,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1,0.98,0.0226,0.00277
28689,TRAV4,T cell receptor alpha variable 4,0.99,0.0227,0.00279
256764,WDR72,WD repeat domain 72,1.1,0.0228,0.00281
23475,QPRT,quinolinate phosphoribosyltransferase,0.984,0.0229,0.00283
222171,PRR15,proline rich 15,1.29,0.0229,0.00285
339324,ZNF260,zinc finger protein 260,1.02,0.0231,0.00287
55304,SPTLC3,serine palmitoyltransferase long chain base subunit 3,1.1,0.0233,0.00289
56894,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,1,0.0234,0.00291
55040,EPN3,epsin 3,1.02,0.0235,0.00293
126,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",1.21,0.0236,0.00295
10507,SEMA4D,semaphorin 4D,1.01,0.0236,0.00297
374569,ASPG,asparaginase,1.02,0.0238,0.00299
130814,PQLC3,PQ loop repeat containing 3,1.12,0.0242,0.00301
285016,ALKAL2,ALK and LTK ligand 2,0.98,0.0244,0.00303
7057,THBS1,thrombospondin 1,1.37,0.0246,0.00305
221154,MICU2,mitochondrial calcium uptake 2,1.02,0.0247,0.00307
5860,QDPR,quinoid dihydropteridine reductase,0.989,0.0248,0.00309
100861520,POU6F2-AS1,POU6F2 antisense RNA 1,0.983,0.0248,0.00311
22820,COPG1,coatomer protein complex subunit gamma 1,1.64,0.0249,0.00314
6744,SSFA2,sperm specific antigen 2,0.983,0.025,0.00316
831,CAST,calpastatin,0.978,0.0252,0.00318
55719,SLF2,SMC5-SMC6 complex localization factor 2,1.03,0.0253,0.0032
440335,SMIM22,small integral membrane protein 22,1.14,0.0256,0.00322
4329,ALDH6A1,aldehyde dehydrogenase 6 family member A1,1,0.0257,0.00324
23504,RIMBP2,RIMS binding protein 2,0.98,0.0259,0.00326
9168,TMSB10,thymosin beta 10,0.98,0.026,0.00329
8972,MGAM,maltase-glucoamylase,1.84,0.0261,0.00331
54097,FAM3B,family with sequence similarity 3 member B,0.991,0.0261,0.00333
150383,CDPF1,cysteine rich DPF motif domain containing 1,0.989,0.0261,0.00335
133686,NADK2,"NAD kinase 2, mitochondrial",0.999,0.0262,0.00337
100125556,FAM86JP,"family with sequence similarity 86, member A pseudogene",1.01,0.0262,0.0034
80279,CDK5RAP3,CDK5 regulatory subunit associated protein 3,0.984,0.0265,0.00342
345557,PLCXD3,phosphatidylinositol specific phospholipase C X domain containing 3,1.12,0.027,0.00344
4357,MPST,mercaptopyruvate sulfurtransferase,1.02,0.0272,0.00346
54887,UHRF1BP1,UHRF1 binding protein 1,0.988,0.0275,0.00349
308,ANXA5,annexin A5,1.09,0.0276,0.00351
100033430,SNORD116-18,"small nucleolar RNA, C/D box 116-18",1.02,0.0277,0.00353
