gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
PITX2	ENST00000306732	True	0.0	11.761	0.0	0.0	0.254	121.0	182.78	0.66201	0.57	0.77	87.0	79.275	1.0974	0.922	1.312	3.1961	1.6577	-0.67932	0.97909	0.020893000000000002	1.624e-05	[]
PITX3	ENST00000370002	True	1.0	10.025	0.09975099999999999	0.034	0.473	109.0	168.71	0.64607	0.552	0.758	74.0	80.145	0.9233299999999999	0.764	1.12	2.6565	1.6678	0.53742	0.82414	0.17512	0.00074673	[]
PIWIL1	ENST00000245255	True	30.0	51.492	0.5826100000000001	0.435	0.79	308.0	486.67	0.6328699999999999	0.576	0.695	178.0	171.65	1.037	0.917	1.174	2.7913	2.9382	-0.37971	4.3305e-14	0.9954799999999999	0.0045206000000000005	[]
PIWIL2	ENST00000356766	True	22.0	51.233000000000004	0.42941	0.306	0.613	546.0	541.92	1.0075	0.938	1.081	200.0	197.57	1.0123	0.901	1.138	3.8063	-0.063515	-0.13534000000000002	2.1178e-08	0.9999899999999999	1.1023e-05	[]
PIWIL3	ENST00000332271	True	48.0	50.299	0.95429	0.756	1.214	496.0	498.15	0.9956799999999999	0.924	1.072	171.0	177.07	0.96572	0.852	1.096	0.30216	0.034955	0.35719	3.9664e-31	0.00011094	0.99989	[]
PIWIL4	ENST00000299001	True	17.0	43.836000000000006	0.38781	0.264	0.582	377.0	470.72	0.80091	0.735	0.872	149.0	170.64	0.8731700000000001	0.763	1.0	3.7775	1.567	1.2972	5.0752e-06	0.99998	1.2451e-05	[]
PJA1	ENST00000361478	True	2.0	16.942999999999998	0.11804	0.047	0.372	225.0	272.28	0.82634	0.74	0.923	85.0	109.68	0.77495	0.649	0.928	3.3834	1.0396	1.8454	0.92322	0.076761	1.7218e-05	[]
PJA2	ENST00000361189	True	9.0	31.893	0.28219	0.169	0.492	338.0	364.31	0.9277799999999999	0.848	1.015	137.0	123.76	1.107	0.963	1.276	3.778	0.5000600000000001	-0.9317200000000001	0.030319	0.96967	1.5554e-05	[]
PKD1	ENST00000262304	True	18.0	154.45	0.11655	0.08	0.173	3247.0	2712.9	1.1969	1.162	1.232	2061.0	1295.3	1.5912	1.534	1.65	10.232000000000001	-3.7199	-16.659000000000002	1.0	1.1086e-12	4.7681e-43	"[""mis_too_many"",""syn_outlier""]"
PKD1L1	ENST00000289672	True	87.0	142.34	0.61122	0.513	0.73	1483.0	1556.1	0.9530200000000001	0.912	0.995	634.0	626.64	1.0117	0.947	1.08	4.3228	0.6723399999999999	-0.23023000000000002	3.7255e-40	0.99997	3.4083e-05	[]
PKD1L2	ENST00000527937	True	7.0	6.8214	1.0262	0.578	1.769	236.0	131.83	1.7901	1.607	1.954	70.0	54.065	1.2947	1.067	1.58	-0.063715	-3.2912	-1.6968	2.0960999999999998e-05	0.29256	0.7074199999999999	"[""mis_too_many""]"
PKD2	ENST00000237596	True	16.0	49.162	0.32545	0.219	0.494	443.0	465.96	0.9507200000000001	0.879	1.028	206.0	175.28	1.1753	1.048	1.319	4.4079	0.38589	-1.8168	0.0001935	0.9998100000000001	3.3003e-07	[]
PKD2L1	ENST00000318222	True	42.0	43.684	0.96146	0.75	1.244	450.0	451.3	0.9971200000000001	0.922	1.078	199.0	181.18	1.0984	0.978	1.235	0.23740999999999998	0.022199	-1.0365	1.9253e-27	0.00032255	0.9996799999999999	[]
PKD2L2	ENST00000290431	True	26.0	36.452	0.71327	0.522	0.99	243.0	301.39	0.8062699999999999	0.725	0.897	87.0	104.26	0.8344299999999999	0.701	0.997	1.6134	1.2201	1.3236	6.8727e-14	0.59819	0.40181	[]
PKDCC	ENST00000294964	True	9.0	17.090999999999998	0.5266	0.316	0.919	224.0	217.1	1.0318	0.924	1.153	94.0	92.206	1.0195	0.862	1.21	1.8239	-0.16989	-0.1463	0.00011788	0.9564299999999999	0.043453	[]
PKDREJ	ENST00000253255	True	16.0	20.99	0.76226	0.515	1.158	1031.0	1140.3	0.90417	0.858	0.952	418.0	455.19	0.9183	0.847	0.996	1.0151	1.174	1.3647	2.3075e-09	0.44903000000000004	0.55097	[]
PKHD1	ENST00000371117	True	107.0	184.71	0.5793	0.494	0.68	2237.0	2166.4	1.0326	0.996	1.069	823.0	819.21	1.0046	0.948	1.064	5.3287	-0.5502199999999999	-0.1037	1.3467e-47	1.0	2.1864e-08	[]
PKHD1L1	ENST00000378402	True	164.0	182.25	0.89984	0.792	1.024	2096.0	2060.3	1.0173	0.981	1.055	737.0	732.93	1.0056	0.946	1.069	1.2602	-0.28526	-0.11784000000000001	8.606799999999997e-101	1.0633e-12	1.0	[]
PKIA	ENST00000396418	True	1.0	1.904	0.5252	0.174	1.765	24.0	37.341	0.64272	0.464	0.904	9.0	13.49	0.6671600000000001	0.401	1.164	0.61059	0.79203	0.9571200000000001	0.14473	0.64112	0.21415	[]
PKIB	ENST00000258014	True	2.0	3.1156	0.6419199999999999	0.256	1.709	39.0	47.309	0.82437	0.637	1.077	18.0	19.035	0.9456200000000001	0.653	1.402	0.58906	0.43823999999999996	0.18575999999999998	0.047257	0.69221	0.26053000000000004	[]
PKIG	ENST00000372889	True	0.0	2.1286	0.0	0.0	1.295	35.0	52.008	0.67298	0.513	0.892	20.0	22.275	0.8978799999999999	0.631	1.305	1.3597	0.85557	0.37736	0.52904	0.41418	0.056776	[]
PKLR	ENST00000342741	True	14.0	24.408	0.57357	0.378	0.897	307.0	358.4	0.8566	0.779	0.941	149.0	143.11	1.0412	0.91	1.193	1.9634	0.98488	-0.38545	4.792600000000001e-07	0.95973	0.040272	[]
PKM	ENST00000319622	True	4.0	20.146	0.19855	0.097	0.454	220.0	328.13	0.67047	0.6	0.75	124.0	116.01	1.0689	0.923	1.241	3.3526	2.1655	-0.5806600000000001	0.5955	0.40442	7.577e-05	[]
PKMYT1	ENST00000262300	True	5.0	19.359	0.25828	0.134	0.543	270.0	284.48	0.94909	0.858	1.05	125.0	123.77	1.0099	0.873	1.172	3.0414	0.31149	-0.08643200000000001	0.17403	0.8254600000000001	0.00050986	[]
PKN1	ENST00000342216	True	11.0	44.405	0.24771999999999997	0.155	0.41	474.0	573.32	0.82676	0.766	0.892	254.0	255.48	0.9942	0.897	1.103	4.6719	1.5048	0.072601	0.11067	0.88933	8.0383e-08	[]
PKN2	ENST00000370521	True	3.0	50.386	0.059539999999999996	0.026	0.154	316.0	508.5	0.62144	0.566	0.682	160.0	172.1	0.9297	0.817	1.06	6.2216	3.0969	0.7220300000000001	1.0	1.5994999999999999e-06	1.2297000000000002e-17	[]
PKN3	ENST00000291906	True	35.0	47.885	0.7309100000000001	0.557	0.969	467.0	554.51	0.84219	0.78	0.909	214.0	227.7	0.9398299999999999	0.84	1.053	1.7354	1.3482	0.71091	1.1942e-18	0.40310999999999997	0.5968899999999999	[]
PKNOX1	ENST00000291547	True	2.0	23.37	0.08558099999999999	0.034	0.269	186.0	249.89	0.74433	0.66	0.841	122.0	106.62	1.1443	0.987	1.33	4.1198	1.4662	-1.1663	0.99254	0.0074601	5.306600000000001e-08	[]
PKNOX2	ENST00000298282	True	2.0	23.128	0.086475	0.034	0.272	196.0	272.08	0.72037	0.64	0.811	137.0	116.76	1.1734	1.02	1.352	4.0944	1.6733	-1.4667	0.9918399999999999	0.008159999999999999	6.608799999999999e-08	[]
PKP1	ENST00000263946	True	11.0	33.847	0.32499	0.204	0.538	452.0	432.53	1.045	0.967	1.13	206.0	181.13	1.1373	1.014	1.277	3.6599	-0.33959	-1.4469	0.0023934	0.9975799999999999	2.6141999999999998e-05	[]
PKP2	ENST00000070846	True	32.0	41.148999999999994	0.77767	0.586	1.045	504.0	504.93	0.99815	0.927	1.074	207.0	213.12	0.9712799999999999	0.866	1.09	1.3292	0.015062	0.32827	5.1869000000000005e-18	0.15447	0.8455299999999999	[]
PKP3	ENST00000331563	True	12.0	27.936	0.42955	0.274	0.696	508.0	470.97	1.0786	1.002	1.161	252.0	217.16	1.1604	1.046	1.288	2.81	-0.61892	-1.8511	5.0489e-05	0.9986	0.0013510999999999998	[]
PKP4	ENST00000389759	True	31.0	62.6	0.49521000000000004	0.371	0.668	609.0	681.68	0.89339	0.835	0.955	265.0	276.58	0.9581299999999999	0.866	1.061	3.7222	1.0098	0.5452100000000001	5.3265e-13	0.99997	2.5184e-05	[]
PLA1A	ENST00000273371	True	18.0	21.820999999999998	0.82491	0.569	1.223	244.0	255.61	0.9545899999999999	0.859	1.061	95.0	96.027	0.9893	0.837	1.173	0.76227	0.26339	0.082064	5.553199999999999e-11	0.21438000000000001	0.78562	[]
PLA2G10	ENST00000438167	True	1.0	0.50475	1.9812	0.342	1.927	24.0	24.35	0.98564	0.713	1.386	9.0	12.142999999999999	0.7412	0.446	1.292	-0.64967	0.025707	0.70608	0.072624	0.54292	0.38445999999999997	[]
PLA2G12A	ENST00000243501	True	6.0	8.2945	0.72337	0.395	1.417	111.0	105.67	1.0505	0.9	1.23	36.0	43.165	0.83401	0.638	1.101	0.74251	-0.18823	0.85383	0.00042874	0.66303	0.33654	[]
PLA2G12B	ENST00000373032	True	6.0	9.8322	0.61024	0.333	1.203	90.0	114.86	0.78354	0.66	0.934	33.0	43.878	0.75208	0.569	1.006	1.139	0.8416100000000001	1.2858	0.00093935	0.81738	0.18168	[]
PLA2G15	ENST00000219345	True	4.0	17.515	0.22838000000000003	0.111	0.523	226.0	253.3	0.8922200000000001	0.8	0.996	94.0	108.45	0.86674	0.733	1.029	3.0096	0.62228	1.0865	0.35479	0.64471	0.00049634	[]
PLA2G16	ENST00000323646	True	8.0	6.5947	1.2131	0.698	1.864	97.0	100.55	0.96467	0.818	1.142	43.0	41.181999999999995	1.0441	0.817	1.346	-0.51002	0.12852	-0.22175	1.8339e-06	0.14495	0.85505	[]
PLA2G1B	ENST00000308366	True	12.0	6.3708	1.8836	1.088	1.964	103.0	85.743	1.2013	1.023	1.415	45.0	36.123000000000005	1.2457	0.98	1.596	-2.0785	-0.6761	-1.1563	1.0898999999999999e-10	0.0068604	0.9931399999999999	[]
PLA2G2A	ENST00000375111	True	2.0	4.9735	0.40213000000000004	0.163	1.251	63.0	81.555	0.77248	0.63	0.953	35.0	32.301	1.0836	0.827	1.437	1.2426	0.74538	-0.37183	0.10722999999999999	0.78397	0.1088	[]
PLA2G2C	ENST00000429261	True	3.0	5.7358	0.52303	0.237	1.335	81.0	76.91199999999999	1.0532	0.879	1.267	33.0	31.888	1.0349	0.783	1.384	1.0646	-0.16912	-0.15417	0.028333999999999998	0.8103600000000001	0.16130999999999998	[]
PLA2G2D	ENST00000375105	True	7.0	6.6817	1.0476	0.589	1.786	94.0	83.804	1.1217	0.948	1.331	39.0	32.113	1.2145	0.939	1.585	-0.11475999999999999	-0.40406	-0.9515100000000001	1.8854e-05	0.27726999999999996	0.7227100000000001	[]
PLA2G2E	ENST00000375116	True	6.0	6.8787	0.87225	0.475	1.648	87.0	93.17200000000001	0.93375	0.784	1.116	33.0	40.0	0.825	0.624	1.103	0.31226	0.23198000000000002	0.86656	0.00018255	0.47938000000000003	0.52044	[]
PLA2G2F	ENST00000375102	True	8.0	6.8519	1.1676	0.674	1.843	130.0	125.13	1.0389	0.9	1.202	47.0	50.535	0.93004	0.735	1.186	-0.40879	-0.15780999999999998	0.38939	2.2694e-06	0.16292	0.8370799999999999	[]
PLA2G3	ENST00000215885	True	19.0	23.513	0.80805	0.563	1.186	304.0	298.01	1.0201	0.928	1.122	134.0	116.93	1.146	0.995	1.323	0.86745	-0.1258	-1.2361	2.2385e-11	0.23870999999999998	0.7612899999999999	[]
PLA2G4A	ENST00000367466	True	14.0	38.148	0.36699	0.241	0.574	264.0	402.86	0.65532	0.592	0.726	137.0	138.4	0.98987	0.861	1.141	3.6438	2.5098	0.09328600000000001	8.513100000000001e-05	0.99989	2.6209e-05	[]
PLA2G4B	ENST00000542534	True	57.0	54.165	1.0523	0.849	1.312	738.0	598.35	1.2334	1.16	1.311	317.0	256.95	1.2337	1.125	1.354	-0.35905	-2.0711	-2.9332	4.7012e-39	8.6454e-07	1.0	"[""mis_too_many""]"
PLA2G4C	ENST00000599111	True	23.0	34.213	0.6722600000000001	0.483	0.952	296.0	308.78	0.9586100000000001	0.871	1.055	139.0	125.0	1.112	0.968	1.28	1.7866	0.26385	-0.9802200000000001	5.7303e-12	0.81842	0.18158	[]
PLA2G4D	ENST00000290472	True	27.0	39.486999999999995	0.68377	0.503	0.943	484.0	463.6	1.044	0.968	1.126	193.0	200.3	0.9635799999999999	0.856	1.086	1.852	-0.34374	0.40359	5.3510000000000004e-14	0.77865	0.22135	[]
PLA2G4E	ENST00000399518	True	27.0	48.018	0.56229	0.413	0.775	405.0	479.56	0.8445299999999999	0.778	0.917	204.0	195.9	1.0414	0.928	1.17	2.8267	1.2351	-0.45337	1.6651e-12	0.9971	0.0029038000000000002	[]
PLA2G4F	ENST00000382396	True	44.0	46.79600000000001	0.94025	0.738	1.209	526.0	488.96	1.0758	1.001	1.156	204.0	203.85	1.0007	0.892	1.124	0.38090999999999997	-0.6077100000000001	-0.0079875	2.5975999999999997e-28	0.00036775	0.9996299999999999	[]
PLA2G5	ENST00000375108	True	7.0	7.8327	0.8936799999999999	0.506	1.627	80.0	87.11399999999999	0.9183399999999999	0.766	1.106	30.0	37.126	0.80806	0.604	1.096	0.2773	0.27651	0.91565	4.3486000000000003e-05	0.41581	0.58414	[]
PLA2G6	ENST00000332509	True	21.0	35.321	0.59455	0.421	0.856	419.0	507.36	0.82585	0.762	0.895	179.0	214.46	0.8346399999999999	0.738	0.945	2.2458	1.4231	1.896	2.7949000000000003e-10	0.97444	0.025557	[]
PLA2G7	ENST00000274793	True	29.0	23.478	1.2352	0.918	1.676	273.0	230.08	1.1866	1.074	1.312	78.0	77.016	1.0128	0.843	1.223	-1.0621	-1.0266	-0.087788	8.8772e-22	0.00013926	0.9998600000000001	[]
PLA2R1	ENST00000283243	True	58.0	84.414	0.68709	0.555	0.855	743.0	779.7	0.9529299999999999	0.896	1.012	261.0	274.23	0.9517700000000001	0.859	1.055	2.6793	0.47676999999999997	0.62535	7.0147e-29	0.8194600000000001	0.18054	[]
PLAA	ENST00000397292	True	8.0	36.897	0.21681999999999998	0.126	0.391	347.0	419.19	0.8277899999999999	0.757	0.905	172.0	149.47	1.1507	1.016	1.306	4.4337	1.2791	-1.4428	0.5138699999999999	0.48613	2.4575e-07	[]
PLAC1	ENST00000359237	True	0.0	0.0	0.0	0.0	0.0	74.0	78.279	0.94534	0.783	1.147	34.0	31.724	1.0717	0.814	1.427	0.0	0.17545999999999998	-0.31638	0.0	0.0	0.0	"[""no_exp_lof""]"
PLAC8	ENST00000426923	True	2.0	5.4336	0.36808	0.149	1.152	46.0	70.751	0.65017	0.512	0.831	20.0	27.910999999999998	0.7165699999999999	0.503	1.041	1.3728	1.0675	1.1724	0.12783	0.78687	0.085302	[]
PLAC8L1	ENST00000311450	True	4.0	6.9773	0.57329	0.281	1.304	76.0	101.7	0.74729	0.62	0.904	40.0	38.175	1.0478	0.813	1.364	1.0505	0.92456	-0.23131	0.008682899999999999	0.81207	0.17925	[]
PLAC9	ENST00000372263	True	3.0	4.7933	0.6258699999999999	0.283	1.543	57.0	53.104	1.0734	0.866	1.338	30.0	22.978	1.3056	0.975	1.75	0.7633800000000001	-0.19397999999999999	-1.147	0.018141	0.73812	0.24373000000000003	[]
PLAG1	ENST00000316981	True	0.0	14.493	0.0	0.0	0.206	164.0	269.78	0.6079	0.534	0.692	114.0	106.19	1.0736	0.921	1.254	3.548	2.3364	-0.59355	0.9923799999999999	0.0076227000000000005	1.3663e-06	[]
PLAGL1	ENST00000360537	True	0.0	11.263	0.0	0.0	0.265	198.0	255.52	0.77489	0.689	0.872	109.0	108.64	1.0033	0.858	1.176	3.1278	1.3054	-0.027217	0.97491	0.02506	2.5447e-05	[]
PLAGL2	ENST00000246229	True	0.0	12.398	0.0	0.0	0.241	191.0	296.93	0.64325	0.571	0.725	130.0	123.26	1.0546	0.914	1.22	3.2815	2.2301	-0.47501000000000004	0.98345	0.016537	9.1306e-06	[]
PLAT	ENST00000220809	True	13.0	31.336	0.41486000000000006	0.269	0.66	328.0	353.42	0.9280799999999999	0.847	1.017	150.0	152.33	0.98472	0.861	1.128	3.0527	0.49053	0.14764000000000002	3.4642e-05	0.99949	0.00047056	[]
PLAU	ENST00000372764	True	13.0	23.958000000000002	0.54261	0.352	0.863	224.0	256.74	0.8724799999999999	0.782	0.975	91.0	98.37299999999999	0.92505	0.78	1.101	2.0865	0.74127	0.58205	2.1424e-06	0.9758600000000001	0.024143	[]
PLAUR	ENST00000340093	True	6.0	14.380999999999998	0.41721	0.227	0.823	191.0	209.37	0.91225	0.81	1.029	71.0	81.955	0.8663299999999999	0.714	1.055	2.0597	0.46063000000000004	0.94744	0.0061419	0.9750200000000001	0.018837	[]
PLB1	ENST00000327757	True	104.0	101.55	1.0242	0.873	1.205	859.0	820.81	1.0465	0.989	1.107	365.0	324.33	1.1254	1.032	1.227	-0.22684	-0.48358999999999996	-1.768	1.0967999999999997e-69	1.8599e-11	1.0	[]
PLBD1	ENST00000240617	True	26.0	27.866	0.9330299999999999	0.683	1.295	252.0	289.99	0.869	0.783	0.965	105.0	104.35	1.0062	0.858	1.183	0.32949	0.8093199999999999	-0.049743	6.7606e-17	0.014594	0.98541	[]
PLBD2	ENST00000280800	True	21.0	29.129	0.7209300000000001	0.51	1.038	256.0	324.71	0.78841	0.711	0.874	116.0	139.95	0.8288700000000001	0.712	0.967	1.4037	1.3832	1.5851	1.637e-11	0.57832	0.42168	[]
PLCB1	ENST00000338037	True	13.0	68.546	0.18965	0.122	0.302	374.0	658.44	0.56801	0.521	0.619	255.0	235.45	1.083	0.977	1.201	6.2527	4.0214	-0.99754	0.97459	0.025411000000000003	2.5105e-14	[]
PLCB2	ENST00000260402	True	40.0	59.578	0.67138	0.52	0.874	573.0	687.78	0.8331200000000001	0.777	0.893	257.0	271.1	0.94801	0.855	1.051	2.3639	1.5877	0.67025	5.454499999999999e-20	0.88459	0.11540999999999998	[]
PLCB3	ENST00000540288	True	13.0	62.571999999999996	0.20776	0.134	0.33	497.0	754.54	0.65868	0.611	0.709	321.0	312.1	1.0285	0.938	1.128	5.8405	3.4013	-0.39427	0.80413	0.19587000000000002	4.7871e-12	[]
PLCB4	ENST00000378501	True	25.0	77.896	0.32094	0.233	0.448	380.0	632.67	0.60063	0.551	0.654	220.0	228.29	0.9637	0.863	1.078	5.5856	3.6442	0.42943000000000003	3.2216e-06	1.0	6.7196e-11	[]
PLCD1	ENST00000463876	True	32.0	39.459	0.81096	0.611	1.089	440.0	453.61	0.97	0.896	1.05	191.0	182.27	1.0479	0.931	1.181	1.1067	0.23181	-0.50631	1.2262e-18	0.068686	0.9313100000000001	[]
PLCD3	ENST00000322765	True	14.0	28.625	0.48908	0.322	0.765	353.0	449.95	0.78454	0.718	0.857	156.0	190.05	0.82085	0.72	0.937	2.5476	1.658	1.9337	2.4068999999999998e-06	0.99566	0.0043403999999999995	[]
PLCD4	ENST00000450993	True	26.0	40.349000000000004	0.6443800000000001	0.471	0.894	358.0	447.01	0.80087	0.734	0.874	138.0	168.65	0.81825	0.712	0.942	2.1052	1.5273	1.848	4.5573e-13	0.9234899999999999	0.076515	[]
PLCE1	ENST00000371380	True	38.0	111.33	0.34133	0.262	0.447	1060.0	1217.7	0.8705	0.827	0.916	441.0	467.3	0.94371	0.872	1.021	6.4771	1.6393	0.95265	4.2485000000000004e-10	1.0	2.3841e-14	[]
PLCG1	ENST00000373272	True	23.0	79.819	0.28815	0.206	0.408	519.0	750.36	0.69167	0.643	0.744	300.0	286.12	1.0485	0.953	1.154	5.9271	3.064	-0.64255	0.00017898	0.99982	5.1267e-12	[]
PLCG2	ENST00000359376	True	14.0	80.458	0.174	0.114	0.272	703.0	764.57	0.91948	0.863	0.979	420.0	309.11	1.3588	1.254	1.473	6.905	0.80775	-4.9384	0.9984299999999999	0.0015738	5.5987e-18	"[""syn_outlier""]"
PLCH1	ENST00000340059	True	17.0	71.809	0.23674	0.161	0.355	771.0	906.88	0.85016	0.801	0.902	308.0	334.63	0.9204100000000001	0.838	1.011	6.0279	1.6369	1.1399	0.15068	0.8493200000000001	3.1663e-12	[]
PLCH2	ENST00000449969	True	31.0	47.656000000000006	0.6505	0.488	0.878	596.0	701.34	0.8498	0.794	0.909	321.0	295.7	1.0856	0.99	1.191	2.2486	1.4431	-1.1519	1.8492e-15	0.9285399999999999	0.071461	[]
PLCL1	ENST00000428675	True	11.0	38.218	0.28783000000000003	0.18	0.476	435.0	563.21	0.77236	0.713	0.836	212.0	200.13	1.0593	0.946	1.187	4.1032	1.9598	-0.6571199999999999	0.012153	0.9878399999999999	2.4759e-06	[]
PLCL2	ENST00000418129	True	0.0	34.398	0.0	0.0	0.087	321.0	547.96	0.58581	0.534	0.643	199.0	198.83	1.0009	0.891	1.126	5.466	3.5173	-0.0095656	1.0	4.4905000000000005e-06	1.8344e-14	[]
PLCXD1	ENST00000381657	True	14.0	13.45	1.0409	0.686	1.611	288.0	223.94	1.286	1.167	1.418	142.0	110.72	1.2825	1.118	1.474	-0.13982999999999998	-1.5529	-2.3274	5.152500000000001e-10	0.062166	0.9378299999999999	[]
PLCXD2	ENST00000477665	True	12.0	13.593	0.88282	0.565	1.427	162.0	175.48	0.9232100000000001	0.812	1.052	64.0	70.765	0.90441	0.739	1.114	0.40264	0.36904000000000003	0.62961	5.9236e-08	0.25032	0.74968	[]
PLCXD3	ENST00000377801	True	5.0	10.737	0.4657	0.242	0.979	166.0	169.57	0.9789399999999999	0.862	1.113	81.0	63.056000000000004	1.2846	1.073	1.545	1.6316	0.099497	-1.7693	0.0078237	0.93309	0.059087	[]
PLCZ1	ENST00000266505	True	22.0	31.335	0.7021	0.501	1.003	340.0	310.6	1.0947	1.001	1.197	112.0	102.13	1.0967	0.94	1.283	1.5541	-0.60522	-0.7648199999999999	8.3771e-12	0.67483	0.32516999999999996	[]
PLD1	ENST00000351298	True	42.0	62.111999999999995	0.6762	0.527	0.875	598.0	614.94	0.97245	0.909	1.04	197.0	217.7	0.9049	0.805	1.018	2.3783	0.24786	1.0986	5.0829e-21	0.86495	0.13505	[]
PLD2	ENST00000263088	True	45.0	51.843	0.8680100000000001	0.683	1.113	575.0	582.35	0.9873700000000001	0.921	1.058	236.0	230.63	1.0233	0.919	1.14	0.88569	0.11054000000000001	-0.27697	2.2893000000000002e-27	0.0025535999999999996	0.99745	[]
PLD3	ENST00000409587	True	11.0	25.506999999999998	0.43125	0.27	0.714	261.0	312.53	0.83511	0.754	0.925	118.0	133.05	0.8869100000000001	0.763	1.033	2.677	1.0575	1.0213	0.00010578	0.99759	0.0023030999999999998	[]
PLD4	ENST00000392593	True	18.0	20.899	0.8612799999999999	0.594	1.277	278.0	281.73	0.98677	0.894	1.09	89.0	125.04	0.71177	0.599	0.849	0.59104	0.08055	2.5235	2.6177e-11	0.14264000000000002	0.85736	[]
PLD5	ENST00000536534	True	8.0	27.783	0.28795	0.168	0.52	205.0	278.78	0.73535	0.655	0.826	109.0	112.59	0.96811	0.828	1.135	3.4978	1.603	0.2649	0.033782	0.96615	6.5231e-05	[]
PLD6	ENST00000321560	True	3.0	4.3964	0.68238	0.307	1.631	109.0	143.29	0.76071	0.65	0.892	51.0	64.492	0.7908	0.631	0.999	0.62066	1.0391	1.3154	0.014816999999999999	0.69938	0.28581	[]
PLEC	ENST00000322810	True	52.0	174.88	0.29735	0.237	0.375	3466.0	3112.5	1.1136	1.082	1.145	1958.0	1417.7	1.3811	1.33	1.434	8.66	-2.2985	-11.234000000000002	8.3915e-10	1.0	1.7304000000000002e-24	"[""mis_too_many"",""syn_outlier""]"
PLEK	ENST00000234313	True	8.0	18.152	0.44072	0.258	0.795	177.0	187.34	0.94481	0.835	1.07	69.0	66.753	1.0337	0.85	1.263	2.2208	0.27404	-0.21536999999999998	0.00094163	0.98731	0.011744	[]
PLEK2	ENST00000216446	True	14.0	19.163	0.73059	0.482	1.142	174.0	205.34	0.84739	0.748	0.961	82.0	82.274	0.9966700000000001	0.833	1.198	1.0991	0.79335	0.023621	4.1257000000000003e-08	0.5876100000000001	0.41239	[]
PLEKHA1	ENST00000368990	True	10.0	23.193	0.43117	0.265	0.731	205.0	234.56	0.8739899999999999	0.779	0.981	81.0	81.919	0.9887799999999999	0.825	1.189	2.553	0.70012	0.079515	0.00023121	0.99608	0.0036899999999999997	[]
PLEKHA2	ENST00000420274	True	3.0	21.715999999999998	0.13815	0.062	0.357	151.0	247.7	0.60961	0.533	0.698	91.0	89.976	1.0114	0.853	1.204	3.743	2.2289	-0.084495	0.9323299999999999	0.06766799999999999	2.5268e-06	[]
PLEKHA3	ENST00000234453	True	6.0	17.1	0.35086999999999996	0.191	0.693	105.0	156.65	0.67027	0.571	0.788	42.0	53.655	0.78277	0.611	1.012	2.5017	1.4972	1.2458	0.017043	0.97857	0.0043896000000000004	[]
PLEKHA4	ENST00000263265	True	26.0	42.266000000000005	0.61516	0.45	0.854	447.0	486.59	0.91863	0.849	0.993	195.0	197.32	0.9882700000000001	0.879	1.113	2.3317	0.6511399999999999	0.12904000000000002	9.8165e-13	0.97125	0.028748000000000003	[]
PLEKHA5	ENST00000429027	True	3.0	78.907	0.038019	0.016	0.098	574.0	670.89	0.85559	0.798	0.917	208.0	235.89	0.88175	0.787	0.989	7.9639	1.357	1.422	1.0	3.728e-11	6.394e-29	[]
PLEKHA6	ENST00000272203	True	13.0	51.422	0.25281	0.164	0.402	601.0	651.99	0.9218	0.861	0.986	225.0	249.4	0.90218	0.808	1.008	4.9936	0.7244	1.2095	0.059658	0.94034	9.154799999999999e-09	[]
PLEKHA7	ENST00000355661	True	27.0	68.488	0.39423	0.29	0.544	658.0	680.63	0.96675	0.906	1.031	278.0	278.39	0.9986	0.905	1.103	4.6722	0.31473	0.018253	3.5291999999999998e-09	1.0	4.8994999999999996e-08	[]
PLEKHA8	ENST00000449726	True	17.0	26.929000000000002	0.63129	0.431	0.947	213.0	258.49	0.824	0.736	0.923	98.0	95.929	1.0216	0.867	1.208	1.7832	1.0265	-0.16554000000000002	8.208e-09	0.90154	0.098462	[]
PLEKHB1	ENST00000354190	True	8.0	14.234000000000002	0.56202	0.329	1.014	142.0	160.05	0.8872	0.773	1.02	64.0	67.668	0.9458	0.772	1.165	1.54	0.51772	0.3491	0.00020071	0.9109700000000001	0.08883200000000001	[]
PLEKHB2	ENST00000409158	True	16.0	16.932000000000002	0.94496	0.639	1.434	107.0	144.59	0.7400100000000001	0.632	0.869	58.0	60.615	0.95685	0.774	1.191	0.21106	1.1341	0.26302	9.5072e-11	0.08440700000000001	0.91559	[]
PLEKHD1	ENST00000322564	True	13.0	27.468000000000004	0.47328000000000003	0.307	0.752	201.0	274.86	0.73128	0.651	0.822	76.0	107.13	0.70944	0.589	0.859	2.5727	1.6162	2.3545	8.1267e-06	0.99625	0.0037436999999999995	[]
PLEKHF1	ENST00000436066	True	3.0	7.8464	0.38234	0.173	0.988	187.0	195.96	0.9543	0.846	1.077	79.0	94.37299999999999	0.83711	0.697	1.009	1.6125	0.23209000000000002	1.239	0.067472	0.8763700000000001	0.056162000000000004	[]
PLEKHF2	ENST00000315367	True	0.0	5.819	0.0	0.0	0.514	76.0	138.66	0.54809	0.454	0.663	30.0	46.973	0.63866	0.477	0.866	2.2482	1.9305	1.939	0.8328899999999999	0.16401	0.0030988000000000005	[]
